220404-01:30:41 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:30:47 [INFO] -- Poll: TimesUp 13239 0
220404-01:30:47 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:30:47 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:30:47 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:30:47 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:30:53 [INFO] -- Poll: TimesUp 83108 0
220404-01:30:53 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:30:53 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:30:53 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:30:53 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:30:59 [INFO] -- Poll: TimesUp 95516 0
220404-01:30:59 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:30:59 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:30:59 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:30:59 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:31:05 [INFO] -- Poll: TimesUp 92948 0
220404-01:31:05 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:31:05 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:31:05 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:31:05 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:31:11 [INFO] -- Poll: TimesUp 52580 0
220404-01:31:11 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:31:11 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:31:11 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:31:11 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:31:17 [INFO] -- Poll: TimesUp 13141 0
220404-01:31:17 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:31:17 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:31:17 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:31:17 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:31:23 [INFO] -- Poll: TimesUp 42891 0
220404-01:31:23 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:31:23 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:31:23 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:31:23 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:31:29 [INFO] -- Poll: TimesUp 56784 0
220404-01:31:29 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:31:29 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:31:29 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:31:29 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:31:35 [INFO] -- Poll: TimesUp 22927 0
220404-01:31:35 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:31:35 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:31:35 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:31:35 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:31:41 [INFO] -- Poll: TimesUp 27625 0
220404-01:31:41 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:31:41 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:31:41 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:31:41 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:31:47 [INFO] -- Poll: TimesUp 29527 0
220404-01:31:47 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:31:47 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:31:47 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:31:47 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:31:53 [INFO] -- Poll: TimesUp 14746 0
220404-01:31:53 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:31:53 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:31:53 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:31:53 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:31:59 [INFO] -- Poll: TimesUp 95538 0
220404-01:31:59 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:31:59 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:31:59 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:31:59 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:32:05 [INFO] -- Poll: TimesUp 24690 0
220404-01:32:05 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:32:05 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:32:05 [INFO] -- PollAck: OctopusCardReaderDriver is up!
